region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
dhaka,0,alphaearth,0.5841408967971802,0.608839750289917,0.6530424356460571,0.024698853492736816,0.06890153884887695,0.8247153162956238,0.7998495697975159,0.7533020377159119,10,64,5,3.9325000000006147
dhaka,1,alphaearth,0.6151373386383057,0.6559415459632874,0.708594560623169,0.04080420732498169,0.09345722198486328,0.6972715258598328,0.6592727899551392,0.6067333221435547,10,64,5,3.9325000000006147
dhaka,2,alphaearth,0.6580331325531006,0.7090428471565247,0.7838630676269531,0.05100971460342407,0.12582993507385254,0.5637632012367249,0.5200189352035522,0.44819724559783936,10,64,5,3.9325000000006147
dhaka,3,alphaearth,0.6845605373382568,0.7545580863952637,0.8490905165672302,0.06999754905700684,0.1645299792289734,0.4977155923843384,0.4390334188938141,0.3442559838294983,10,64,5,3.9325000000006147
dhaka,4,alphaearth,0.6876425743103027,0.7713439464569092,0.8991664052009583,0.08370137214660645,0.21152383089065552,0.4701744019985199,0.40227630734443665,0.2671380341053009,10,64,5,3.9325000000006147
dhaka,5,alphaearth,0.6942568421363831,0.8024973273277283,0.9174687266349792,0.10824048519134521,0.2232118844985962,0.4488329589366913,0.3607388138771057,0.2331930547952652,10,64,5,3.9325000000006147
dhaka,10,alphaearth,0.7201467752456665,0.8585108518600464,0.9850146770477295,0.13836407661437988,0.264867901802063,0.385175883769989,0.2738769054412842,0.08913063257932663,10,64,5,3.9325000000006147
dhaka,20,alphaearth,0.7358076572418213,0.9240328669548035,0.9932515621185303,0.18822520971298218,0.257443904876709,0.3240656554698944,0.1737743765115738,0.05179348960518837,10,64,5,3.9325000000006147
dhaka,40,alphaearth,0.7510272860527039,0.9524248242378235,0.9942494034767151,0.20139753818511963,0.24322211742401123,0.236814945936203,0.10351981967687607,0.03599058836698532,10,64,5,3.9325000000006147
