region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
maharashtra,0,alphaearth,0.3965591788291931,0.41792964935302734,0.4337614178657532,0.02137047052383423,0.03720223903656006,0.9671614170074463,0.949881374835968,0.9368743896484375,40,64,5,4.1274999999999125
maharashtra,1,alphaearth,0.3895121216773987,0.41300511360168457,0.4143385887145996,0.02349299192428589,0.024826467037200928,0.8352357149124146,0.8190070986747742,0.8180763125419617,40,64,5,4.1274999999999125
maharashtra,2,alphaearth,0.3702767491340637,0.4562996029853821,0.47035449743270874,0.08602285385131836,0.10007774829864502,0.6297116875648499,0.5851224064826965,0.5775100588798523,40,64,5,4.1274999999999125
maharashtra,3,alphaearth,0.3566862940788269,0.5233484506607056,0.5571801662445068,0.16666215658187866,0.20049387216567993,0.5158092379570007,0.4439951777458191,0.4279482662677765,40,64,5,4.1274999999999125
maharashtra,4,alphaearth,0.346430242061615,0.5870575308799744,0.6511452198028564,0.24062728881835938,0.30471497774124146,0.4550153613090515,0.3616802990436554,0.33243170380592346,40,64,5,4.1274999999999125
maharashtra,5,alphaearth,0.3409270644187927,0.6805789470672607,0.7174893021583557,0.339651882648468,0.376562237739563,0.41695716977119446,0.29027292132377625,0.27298712730407715,40,64,5,4.1274999999999125
maharashtra,10,alphaearth,0.3517494201660156,0.8754115104675293,0.9264811277389526,0.5236620903015137,0.574731707572937,0.3248499631881714,0.14241324365139008,0.10939835757017136,40,64,5,4.1274999999999125
maharashtra,20,alphaearth,0.4156671166419983,0.9615241289138794,0.9775082468986511,0.5458570122718811,0.5618411302566528,0.24028484523296356,0.061658166348934174,0.04714198037981987,40,64,5,4.1274999999999125
maharashtra,40,alphaearth,0.526806116104126,0.9627106189727783,0.9871081709861755,0.43590450286865234,0.46030205488204956,0.15560874342918396,0.04368245229125023,0.025684557855129242,40,64,5,4.1274999999999125
