region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,alphaearth,0.5514114499092102,0.5799401998519897,0.5821921229362488,0.02852874994277954,0.030780673027038574,1.0262560844421387,0.9930868148803711,0.9904212355613708,40,64,5,3.939000000000616
mexicocity,1,alphaearth,0.5401722192764282,0.6042263507843018,0.6101236939430237,0.06405413150787354,0.06995147466659546,0.8671006560325623,0.8044431209564209,0.7984272241592407,40,64,5,3.939000000000616
mexicocity,2,alphaearth,0.5327829122543335,0.6532978415489197,0.7097010612487793,0.12051492929458618,0.1769181489944458,0.7144623398780823,0.6154577732086182,0.5631741285324097,40,64,5,3.939000000000616
mexicocity,3,alphaearth,0.5055830478668213,0.7329381704330444,0.8081356287002563,0.22735512256622314,0.30255258083343506,0.6593639850616455,0.4846011698246002,0.4107482433319092,40,64,5,3.939000000000616
mexicocity,4,alphaearth,0.5105487108230591,0.784173846244812,0.8754768967628479,0.27362513542175293,0.3649281859397888,0.6147775053977966,0.4082396626472473,0.3100902736186981,40,64,5,3.939000000000616
mexicocity,5,alphaearth,0.5463488101959229,0.8414169549942017,0.9035311937332153,0.2950681447982788,0.3571823835372925,0.5654192566871643,0.3343012034893036,0.26073724031448364,40,64,5,3.939000000000616
mexicocity,10,alphaearth,0.5579531192779541,0.9481693506240845,0.9764567613601685,0.39021623134613037,0.41850364208221436,0.4850064814090729,0.16607597470283508,0.1119299829006195,40,64,5,3.939000000000616
mexicocity,20,alphaearth,0.6267614364624023,0.9847431778907776,0.9933950901031494,0.35798174142837524,0.36663365364074707,0.3762119710445404,0.07606256753206253,0.05004633963108063,40,64,5,3.939000000000616
mexicocity,40,alphaearth,0.6424611806869507,0.9936978816986084,0.9975377321243286,0.3512367010116577,0.35507655143737793,0.291198194026947,0.038660693913698196,0.024165386334061623,40,64,5,3.939000000000616
