region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,galileo,0.5361341238021851,0.5868632793426514,0.5994341969490051,0.05072915554046631,0.06330007314682007,1.0435850620269775,0.984869122505188,0.9697695970535278,40,64,5,3.939000000000616
mexicocity,1,galileo,0.5195672512054443,0.5942550897598267,0.6098994016647339,0.07468783855438232,0.09033215045928955,0.8863152265548706,0.8145138025283813,0.7986568808555603,40,64,5,3.939000000000616
mexicocity,2,galileo,0.49252527952194214,0.6485480070114136,0.6902862191200256,0.15602272748947144,0.1977609395980835,0.744607150554657,0.6196593642234802,0.5817015767097473,40,64,5,3.939000000000616
mexicocity,3,galileo,0.4674312472343445,0.722054660320282,0.784120500087738,0.2546234130859375,0.31668925285339355,0.6843312382698059,0.4943769872188568,0.43569666147232056,40,64,5,3.939000000000616
mexicocity,4,galileo,0.49021703004837036,0.7894957661628723,0.8594427108764648,0.29927873611450195,0.3692256808280945,0.6274163722991943,0.40317502617836,0.3294503092765808,40,64,5,3.939000000000616
mexicocity,5,galileo,0.47477298974990845,0.8325735330581665,0.9111278653144836,0.35780054330825806,0.4363548755645752,0.6083914041519165,0.3434959352016449,0.25026053190231323,40,64,5,3.939000000000616
mexicocity,10,galileo,0.46161550283432007,0.9481674432754517,0.9793205261230469,0.4865519404411316,0.5177050232887268,0.535253643989563,0.16607902944087982,0.10490181297063828,40,64,5,3.939000000000616
mexicocity,20,galileo,0.46745043992996216,0.979542076587677,0.993044376373291,0.5120916366577148,0.5255939364433289,0.4493858516216278,0.08807851374149323,0.05135790631175041,40,64,5,3.939000000000616
mexicocity,40,galileo,0.4864019751548767,0.9960491061210632,0.9966568946838379,0.5096471309661865,0.5102549195289612,0.349010705947876,0.03061089850962162,0.02815794013440609,40,64,5,3.939000000000616
