region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
southflorida,0,alphaearth,0.5554338693618774,0.5726029872894287,0.5850304365158081,0.01716911792755127,0.029596567153930664,0.9075018167495728,0.8898054957389832,0.8767735958099365,40,64,3,3.1070000000015896
southflorida,1,alphaearth,0.5173376798629761,0.5933607816696167,0.6270336508750916,0.07602310180664062,0.10969597101211548,0.6810340285301208,0.6251031756401062,0.5986623167991638,40,64,3,3.1070000000015896
southflorida,2,alphaearth,0.4747534990310669,0.6588376760482788,0.7468782663345337,0.18408417701721191,0.2721247673034668,0.5827863216400146,0.46968674659729004,0.4045688807964325,40,64,3,3.1070000000015896
southflorida,3,alphaearth,0.43065303564071655,0.7593299150466919,0.8094813823699951,0.32867687940597534,0.37882834672927856,0.5441921949386597,0.35381385684013367,0.31479841470718384,40,64,3,3.1070000000015896
southflorida,4,alphaearth,0.4250972270965576,0.8073300123214722,0.895914614200592,0.38223278522491455,0.4708173871040344,0.507235586643219,0.29364293813705444,0.2158278226852417,40,64,3,3.1070000000015896
southflorida,5,alphaearth,0.41042864322662354,0.8602505922317505,0.9116773009300232,0.44982194900512695,0.5012486577033997,0.4821120500564575,0.23472252488136292,0.18660186231136322,40,64,3,3.1070000000015896
southflorida,10,alphaearth,0.3829902410507202,0.9185060858726501,0.9891541004180908,0.5355158448219299,0.6061638593673706,0.3773075342178345,0.13712354004383087,0.050024379044771194,40,64,3,3.1070000000015896
southflorida,20,alphaearth,0.40937989950180054,0.9448286294937134,0.9919081330299377,0.5354487299919128,0.5825282335281372,0.2388797253370285,0.07300995290279388,0.027960795909166336,40,64,3,3.1070000000015896
southflorida,40,alphaearth,0.5935379266738892,0.9092679023742676,0.9897602200508118,0.3157299757003784,0.3962222933769226,0.12727423012256622,0.06013273075222969,0.020201126113533974,40,64,3,3.1070000000015896
