region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
maharashtra,0,galileo,0.320248007774353,0.3816366195678711,0.37851446866989136,0.061388611793518066,0.05826646089553833,1.026495099067688,0.9790469408035278,0.9815154075622559,40,96,12,4.1274999999999125
maharashtra,1,galileo,0.320914626121521,0.38141554594039917,0.37818121910095215,0.060500919818878174,0.05726659297943115,0.8809123635292053,0.8407560586929321,0.8429511785507202,40,96,12,4.1274999999999125
maharashtra,2,galileo,0.2697853446006775,0.39293158054351807,0.4351559281349182,0.12314623594284058,0.16537058353424072,0.6780975461006165,0.6182807087898254,0.5963911414146423,40,96,12,4.1274999999999125
maharashtra,3,galileo,0.23624318838119507,0.4899141788482666,0.5569967031478882,0.25367099046707153,0.3207535147666931,0.5620245337486267,0.459303081035614,0.4280369281768799,40,96,12,4.1274999999999125
maharashtra,4,galileo,0.22887831926345825,0.5821411609649658,0.6990342140197754,0.35326284170150757,0.47015589475631714,0.49424415826797485,0.3638269603252411,0.3087725043296814,40,96,12,4.1274999999999125
maharashtra,5,galileo,0.2118978500366211,0.6633639335632324,0.8065648078918457,0.45146608352661133,0.5946669578552246,0.45594871044158936,0.2979923188686371,0.22588762640953064,40,96,12,4.1274999999999125
maharashtra,10,galileo,0.19919359683990479,0.8809834122657776,0.942257821559906,0.6817898154258728,0.7430642247200012,0.36105647683143616,0.13919226825237274,0.09695227444171906,40,96,12,4.1274999999999125
maharashtra,20,galileo,0.1816142201423645,0.9506810903549194,0.9790337681770325,0.7690668702125549,0.797419548034668,0.2843644320964813,0.06980762630701065,0.045515187084674835,40,96,12,4.1274999999999125
maharashtra,40,galileo,0.17883449792861938,0.9812877178192139,0.9799425601959229,0.8024532198905945,0.8011080622673035,0.20498862862586975,0.030944107100367546,0.032037001103162766,40,96,12,4.1274999999999125
