region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
dhaka,0,galileo,0.5165778398513794,0.6435493230819702,0.655552864074707,0.12697148323059082,0.13897502422332764,0.8891893029212952,0.7635380625724792,0.7505718469619751,40,64,5,3.9325000000006147
dhaka,1,galileo,0.5042731761932373,0.6661414504051208,0.6826373338699341,0.16186827421188354,0.17836415767669678,0.7913530468940735,0.6494269371032715,0.6331796646118164,40,64,5,3.9325000000006147
dhaka,2,galileo,0.4915739893913269,0.7299295663833618,0.7618588209152222,0.2383555769920349,0.27028483152389526,0.687414288520813,0.5010063052177429,0.4704591929912567,40,64,5,3.9325000000006147
dhaka,3,galileo,0.4846324920654297,0.7863377928733826,0.8375823497772217,0.3017053008079529,0.352949857711792,0.6361825466156006,0.4096255600452423,0.35714104771614075,40,64,5,3.9325000000006147
dhaka,4,galileo,0.4840344190597534,0.8473144173622131,0.8874561190605164,0.3632799983024597,0.40342170000076294,0.6042872667312622,0.3287245035171509,0.28222405910491943,40,64,5,3.9325000000006147
dhaka,5,galileo,0.4797288775444031,0.8858455419540405,0.9224435687065125,0.40611666440963745,0.4427146911621094,0.5854923129081726,0.2742539048194885,0.2260555624961853,40,64,5,3.9325000000006147
dhaka,10,galileo,0.4708189368247986,0.9510684013366699,0.9833409190177917,0.48024946451187134,0.5125219821929932,0.5296586155891418,0.16106031835079193,0.0939764678478241,40,64,5,3.9325000000006147
dhaka,20,galileo,0.46280062198638916,0.9895992875099182,0.9913530349731445,0.526798665523529,0.5285524129867554,0.4621049463748932,0.06429901719093323,0.05862801894545555,40,64,5,3.9325000000006147
dhaka,40,galileo,0.4181075096130371,0.9932792782783508,0.995958685874939,0.5751717686653137,0.5778511762619019,0.36203837394714355,0.03890816867351532,0.030171312391757965,40,64,5,3.9325000000006147
