region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
dhaka,0,alphaearth,0.5841408967971802,0.608839750289917,0.6363484859466553,0.024698853492736816,0.0522075891494751,0.8247153162956238,0.7998495697975159,0.7712118029594421,10,40,2,3.9325000000006147
dhaka,1,alphaearth,0.6220306158065796,0.6622278690338135,0.6725826859474182,0.04019725322723389,0.05055207014083862,0.690998911857605,0.6532222032546997,0.6431316137313843,10,40,2,3.9325000000006147
dhaka,2,alphaearth,0.6499488353729248,0.7142956256866455,0.7234752178192139,0.0643467903137207,0.07352638244628906,0.5703880786895752,0.5153035521507263,0.5069577097892761,10,40,2,3.9325000000006147
dhaka,3,alphaearth,0.6914573907852173,0.7484687566757202,0.7572241425514221,0.05701136589050293,0.06576675176620483,0.4922444224357605,0.4444461762905121,0.43664243817329407,10,40,2,3.9325000000006147
dhaka,4,alphaearth,0.6916674375534058,0.7769772410392761,0.7659458518028259,0.08530980348587036,0.07427841424942017,0.46713536977767944,0.39729002118110657,0.40699705481529236,10,40,2,3.9325000000006147
dhaka,5,alphaearth,0.6925386190414429,0.7959316968917847,0.7994621396064758,0.1033930778503418,0.10692352056503296,0.4500923454761505,0.3666858375072479,0.36350011825561523,10,40,2,3.9325000000006147
dhaka,10,alphaearth,0.7285947799682617,0.8526554107666016,0.8502941131591797,0.12406063079833984,0.12169933319091797,0.37931758165359497,0.2794865667819977,0.2817172110080719,10,40,2,3.9325000000006147
dhaka,20,alphaearth,0.7545385956764221,0.887071967124939,0.894710123538971,0.13253337144851685,0.14017152786254883,0.3123665153980255,0.21187208592891693,0.20458142459392548,10,40,2,3.9325000000006147
dhaka,40,alphaearth,0.7496335506439209,0.9173142313957214,0.877055287361145,0.16768068075180054,0.12742173671722412,0.2374768704175949,0.13647359609603882,0.1664133369922638,10,40,2,3.9325000000006147
