region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,galileo,0.5361341238021851,0.5550578832626343,0.5983486175537109,0.01892375946044922,0.06221449375152588,1.0435850620269775,1.0220764875411987,0.9710827469825745,10,96,11,3.939000000000616
mexicocity,1,galileo,0.5245927572250366,0.5619572997093201,0.6204014420509338,0.03736454248428345,0.09580868482589722,0.8816674947738647,0.8463113307952881,0.787833034992218,10,96,11,3.939000000000616
mexicocity,2,galileo,0.470431923866272,0.5800117254257202,0.7288126945495605,0.10957980155944824,0.2583807706832886,0.7606430053710938,0.6773896217346191,0.5443204641342163,10,96,11,3.939000000000616
mexicocity,3,galileo,0.4923245310783386,0.5927959084510803,0.8227957487106323,0.1004713773727417,0.3304712176322937,0.6681464314460754,0.5983904004096985,0.3947441279888153,10,96,11,3.939000000000616
mexicocity,4,galileo,0.4844536781311035,0.6397413015365601,0.8916793465614319,0.15528762340545654,0.40722566843032837,0.6309530735015869,0.5274367928504944,0.2892136573791504,10,96,11,3.939000000000616
mexicocity,5,galileo,0.486592173576355,0.65619957447052,0.9334844350814819,0.16960740089416504,0.44689226150512695,0.6015071272850037,0.49222397804260254,0.21650665998458862,10,96,11,3.939000000000616
mexicocity,10,galileo,0.47797781229019165,0.7739951014518738,0.9830771684646606,0.29601728916168213,0.505099356174469,0.5270573496818542,0.34679457545280457,0.09489641338586807,10,96,11,3.939000000000616
mexicocity,20,galileo,0.45624810457229614,0.9090133905410767,0.9927613139152527,0.4527652859687805,0.5365132093429565,0.4540877342224121,0.18574969470500946,0.05239240825176239,10,96,11,3.939000000000616
mexicocity,40,galileo,0.5118266940116882,0.9431668519973755,0.9964329600334167,0.43134015798568726,0.4846062660217285,0.3402625024318695,0.11609885841608047,0.029085896909236908,10,96,11,3.939000000000616
