region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,galileo,0.5361341238021851,0.5868632793426514,0.6016646027565002,0.05072915554046631,0.06553047895431519,1.0435850620269775,0.984869122505188,0.9670659303665161,40,96,11,3.939000000000616
mexicocity,1,galileo,0.520438551902771,0.601397693157196,0.6158545017242432,0.08095914125442505,0.09541594982147217,0.8855111598968506,0.8073127865791321,0.7925374507904053,40,96,11,3.939000000000616
mexicocity,2,galileo,0.46604442596435547,0.6443397998809814,0.7161257266998291,0.17829537391662598,0.25008130073547363,0.7637875080108643,0.6233581304550171,0.5569074153900146,40,96,11,3.939000000000616
mexicocity,3,galileo,0.4705665707588196,0.7242581844329834,0.8236546516418457,0.2536916136741638,0.3530880808830261,0.6823139190673828,0.4924134314060211,0.3937862813472748,40,96,11,3.939000000000616
mexicocity,4,galileo,0.48525846004486084,0.7813178300857544,0.8913035988807678,0.29605937004089355,0.406045138835907,0.6304603815078735,0.41093191504478455,0.28971490263938904,40,96,11,3.939000000000616
mexicocity,5,galileo,0.47720807790756226,0.844929575920105,0.9244824647903442,0.3677214980125427,0.447274386882782,0.6069794297218323,0.33057811856269836,0.23069250583648682,40,96,11,3.939000000000616
mexicocity,10,galileo,0.4711443781852722,0.9472265839576721,0.9803427457809448,0.4760822057723999,0.5091983675956726,0.5304957628250122,0.1675795614719391,0.10227619856595993,40,96,11,3.939000000000616
mexicocity,20,galileo,0.4550333023071289,0.9881860613822937,0.9960195422172546,0.5331527590751648,0.5409862399101257,0.4545947015285492,0.06693238765001297,0.0388512909412384,40,96,11,3.939000000000616
mexicocity,40,galileo,0.4873897433280945,0.9946235418319702,0.9968015551567078,0.5072337985038757,0.5094118118286133,0.3486749231815338,0.035708777606487274,0.027542095631361008,40,96,11,3.939000000000616
