region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
southflorida,0,alphaearth,0.5554338693618774,0.5534459352493286,0.5817766785621643,-0.001987934112548828,0.026342809200286865,0.9075018167495728,0.9095285534858704,0.8802042603492737,10,96,7,3.1070000000015896
southflorida,1,alphaearth,0.5217205882072449,0.53374844789505,0.6392489671707153,0.012027859687805176,0.11752837896347046,0.6779348254203796,0.6693561673164368,0.5887770652770996,10,96,7,3.1070000000015896
southflorida,2,alphaearth,0.45813798904418945,0.49429798126220703,0.7819578647613525,0.03615999221801758,0.3238198757171631,0.591932475566864,0.571840763092041,0.3754896819591522,10,96,7,3.1070000000015896
southflorida,3,alphaearth,0.44707393646240234,0.4917503595352173,0.880169689655304,0.04467642307281494,0.4330957531929016,0.5362870693206787,0.5141648054122925,0.24965894222259521,10,96,7,3.1070000000015896
southflorida,4,alphaearth,0.4124816656112671,0.48372429609298706,0.9330596923828125,0.07124263048171997,0.5205780267715454,0.5127707123756409,0.4806770086288452,0.17308375239372253,10,96,7,3.1070000000015896
southflorida,5,alphaearth,0.40967005491256714,0.49806731939315796,0.9504616856575012,0.08839726448059082,0.5407916307449341,0.4824221134185791,0.44483867287635803,0.13974957168102264,10,96,7,3.1070000000015896
southflorida,10,alphaearth,0.3825947642326355,0.4696309566497803,0.9866411685943604,0.08703619241714478,0.6040464043617249,0.37742841243743896,0.3498150706291199,0.05551799759268761,10,96,7,3.1070000000015896
southflorida,20,alphaearth,0.4207491874694824,0.5747982263565063,0.9967437386512756,0.15404903888702393,0.5759945511817932,0.2365693747997284,0.20268550515174866,0.017737172544002533,10,96,7,3.1070000000015896
southflorida,40,alphaearth,0.5870623588562012,0.7402400970458984,0.9916519522666931,0.15317773818969727,0.40458959341049194,0.12828406691551208,0.10174581408500671,0.01823989860713482,10,96,7,3.1070000000015896
