region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
southflorida,0,galileo,0.5502023696899414,0.5890576243400574,0.5921030640602112,0.03885525465011597,0.041900694370269775,0.9128258228302002,0.8725087642669678,0.8692697286605835,40,64,3,3.1070000000015896
southflorida,1,galileo,0.4731842279434204,0.5940074920654297,0.6139485239982605,0.12082326412200928,0.1407642960548401,0.7115026116371155,0.6246060132980347,0.6090735197067261,40,64,3,3.1070000000015896
southflorida,2,galileo,0.4126002788543701,0.6181566715240479,0.7241308093070984,0.20555639266967773,0.31153053045272827,0.6163035035133362,0.49690160155296326,0.4223566949367523,40,64,3,3.1070000000015896
southflorida,3,galileo,0.39716899394989014,0.7495263814926147,0.8355478644371033,0.3523573875427246,0.43837887048721313,0.5599659085273743,0.3609481155872345,0.2924714982509613,40,64,3,3.1070000000015896
southflorida,4,galileo,0.35950160026550293,0.8303666114807129,0.8776995539665222,0.47086501121520996,0.5181979537010193,0.5353915691375732,0.27552956342697144,0.2339518964290619,40,64,3,3.1070000000015896
southflorida,5,galileo,0.33771419525146484,0.8225365877151489,0.9170826077461243,0.4848223924636841,0.5793684124946594,0.5109784007072449,0.26450520753860474,0.18080176413059235,40,64,3,3.1070000000015896
southflorida,10,galileo,0.2973352074623108,0.8537672758102417,0.9833461046218872,0.5564320683479309,0.6860108971595764,0.40264615416526794,0.18368415534496307,0.061987970024347305,40,64,3,3.1070000000015896
southflorida,20,galileo,0.3211160898208618,0.7747271656990051,0.9929282069206238,0.4536110758781433,0.671812117099762,0.2561078667640686,0.1475297510623932,0.02613905258476734,40,64,3,3.1070000000015896
southflorida,40,galileo,0.30111175775527954,0.9289146661758423,0.9973633885383606,0.6278029084205627,0.696251630783081,0.16689155995845795,0.05322558805346489,0.0102506959810853,40,64,3,3.1070000000015896
