region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
southflorida,0,alphaearth,0.5554338693618774,0.5534459352493286,0.5816644430160522,-0.001987934112548828,0.026230573654174805,0.9075018167495728,0.9095285534858704,0.8803223371505737,10,64,48,3.1070000000015896
southflorida,1,alphaearth,0.5156893730163574,0.5385011434555054,0.6506807208061218,0.02281177043914795,0.1349913477897644,0.6821959018707275,0.6659358739852905,0.5793731808662415,10,64,48,3.1070000000015896
southflorida,2,alphaearth,0.45756763219833374,0.4993465542793274,0.7554357051849365,0.04177892208099365,0.2978680729866028,0.5922439098358154,0.5689792037010193,0.39767134189605713,10,64,48,3.1070000000015896
southflorida,3,alphaearth,0.4302026629447937,0.49039047956466675,0.8483808040618896,0.06018781661987305,0.41817814111709595,0.5444073677062988,0.5148521661758423,0.2808283269405365,10,64,48,3.1070000000015896
southflorida,4,alphaearth,0.4147036671638489,0.4898226261138916,0.9040266275405884,0.07511895895004272,0.4893229603767395,0.5118001699447632,0.4778296649456024,0.2072468250989914,10,64,48,3.1070000000015896
southflorida,5,alphaearth,0.41531115770339966,0.47223979234695435,0.9363070130348206,0.05692863464355469,0.5209958553314209,0.48011159896850586,0.4561399519443512,0.15846213698387146,10,64,48,3.1070000000015896
southflorida,10,alphaearth,0.3725115656852722,0.4891451597213745,0.9838926792144775,0.1166335940361023,0.6113811135292053,0.38049793243408203,0.34331926703453064,0.0609622485935688,10,64,48,3.1070000000015896
southflorida,20,alphaearth,0.42035961151123047,0.5253803730010986,0.9938062429428101,0.10502076148986816,0.5734466314315796,0.23664890229701996,0.2141401171684265,0.024462617933750153,10,64,48,3.1070000000015896
southflorida,40,alphaearth,0.5980471968650818,0.7433141469955444,0.9969298839569092,0.14526695013046265,0.3988826870918274,0.12656627595424652,0.10114198923110962,0.011061304248869419,10,64,48,3.1070000000015896
