region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
southflorida,0,alphaearth,0.5554338693618774,0.5534459352493286,0.5828518271446228,-0.001987934112548828,0.02741795778274536,0.9075018167495728,0.9095285534858704,0.8790721297264099,10,40,12,3.1070000000015896
southflorida,1,alphaearth,0.5167754292488098,0.5288649201393127,0.6274486780166626,0.01208949089050293,0.11067324876785278,0.6814305782318115,0.6728524565696716,0.5983291268348694,10,40,12,3.1070000000015896
southflorida,2,alphaearth,0.4561435580253601,0.5065078735351562,0.7115277647972107,0.05036431550979614,0.2553842067718506,0.5930207967758179,0.5648952126502991,0.4318966269493103,10,40,12,3.1070000000015896
southflorida,3,alphaearth,0.43211889266967773,0.4944080114364624,0.8130142688751221,0.06228911876678467,0.38089537620544434,0.5434911847114563,0.5128187537193298,0.31186598539352417,10,40,12,3.1070000000015896
southflorida,4,alphaearth,0.4162184000015259,0.4862518906593323,0.8750119209289551,0.0700334906578064,0.4587935209274292,0.5111374258995056,0.47949889302253723,0.23650850355625153,10,40,12,3.1070000000015896
southflorida,5,alphaearth,0.4054861068725586,0.4894282817840576,0.9209666848182678,0.08394217491149902,0.5154805779457092,0.4841286540031433,0.4486505091190338,0.1765163391828537,10,40,12,3.1070000000015896
southflorida,10,alphaearth,0.3804134726524353,0.47073501348495483,0.9863070845603943,0.09032154083251953,0.605893611907959,0.37809455394744873,0.3494507670402527,0.05620788782835007,10,40,12,3.1070000000015896
southflorida,20,alphaearth,0.4095652103424072,0.5194385051727295,0.9952038526535034,0.10987329483032227,0.5856386423110962,0.23884223401546478,0.2154763638973236,0.021526405587792397,10,40,12,3.1070000000015896
southflorida,40,alphaearth,0.605597198009491,0.745746374130249,0.9973764419555664,0.14014917612075806,0.39177924394607544,0.12537197768688202,0.10066165775060654,0.010225294157862663,10,40,12,3.1070000000015896
