region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
maharashtra,0,alphaearth,0.3965591788291931,0.41792964935302734,0.4214152693748474,0.02137047052383423,0.024856090545654297,0.9671614170074463,0.949881374835968,0.9470329880714417,40,40,2,4.1274999999999125
maharashtra,1,alphaearth,0.39365822076797485,0.4229966402053833,0.4313236474990845,0.029338419437408447,0.03766542673110962,0.8323945999145508,0.8120068311691284,0.8061262965202332,40,40,2,4.1274999999999125
maharashtra,2,alphaearth,0.36691367626190186,0.4419291019439697,0.4106699228286743,0.07501542568206787,0.04375624656677246,0.6313909888267517,0.5928046107292175,0.6091808080673218,40,40,2,4.1274999999999125
maharashtra,3,alphaearth,0.35478729009628296,0.5063931345939636,0.4134586453437805,0.15160584449768066,0.05867135524749756,0.5165700316429138,0.45182299613952637,0.49252358078956604,40,40,2,4.1274999999999125
maharashtra,4,alphaearth,0.34505343437194824,0.6166731119155884,0.4424293637275696,0.27161967754364014,0.09737592935562134,0.45549440383911133,0.34846943616867065,0.4202716052532196,40,40,2,4.1274999999999125
maharashtra,5,alphaearth,0.35168880224227905,0.6748195886611938,0.4709276556968689,0.3231307864189148,0.11923885345458984,0.41353902220726013,0.292878121137619,0.37357884645462036,40,40,2,4.1274999999999125
maharashtra,10,alphaearth,0.35321253538131714,0.8929007649421692,0.5414634943008423,0.539688229560852,0.18825095891952515,0.32448315620422363,0.13203969597816467,0.2732110917568207,40,40,2,4.1274999999999125
maharashtra,20,alphaearth,0.41721540689468384,0.9614951610565186,0.6588890552520752,0.5442797541618347,0.24167364835739136,0.23996630311012268,0.06168133765459061,0.183587908744812,40,40,2,4.1274999999999125
maharashtra,40,alphaearth,0.5260039567947388,0.974679172039032,0.8275542259216309,0.4486752152442932,0.3015502691268921,0.15574058890342712,0.03599591553211212,0.09393786638975143,40,40,2,4.1274999999999125
