region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,galileo,0.5361341238021851,0.5550578832626343,0.5664147138595581,0.01892375946044922,0.030280590057373047,1.0435850620269775,1.0220764875411987,1.0089482069015503,10,40,2,3.939000000000616
mexicocity,1,galileo,0.528272807598114,0.5673477649688721,0.55601966381073,0.03907495737075806,0.027746856212615967,0.878248393535614,0.8410879373550415,0.8520278334617615,10,40,2,3.939000000000616
mexicocity,2,galileo,0.47550225257873535,0.5715960264205933,0.5645186305046082,0.09609377384185791,0.0890163779258728,0.7569928765296936,0.6841427087783813,0.6897707581520081,10,40,2,3.939000000000616
mexicocity,3,galileo,0.48610299825668335,0.600824236869812,0.5944913625717163,0.11472123861312866,0.10838836431503296,0.6722279787063599,0.5924621820449829,0.5971434116363525,10,40,2,3.939000000000616
mexicocity,4,galileo,0.4924831986427307,0.6450029611587524,0.6348427534103394,0.15251976251602173,0.14235955476760864,0.6260203123092651,0.5235710144042969,0.531010627746582,10,40,2,3.939000000000616
mexicocity,5,galileo,0.47883141040802,0.682377815246582,0.6469191312789917,0.203546404838562,0.16808772087097168,0.6060363054275513,0.473113089799881,0.49882322549819946,10,40,2,3.939000000000616
mexicocity,10,galileo,0.4499679207801819,0.785560667514801,0.7036228775978088,0.33559274673461914,0.25365495681762695,0.5410125851631165,0.3378046154975891,0.3971327543258667,10,40,2,3.939000000000616
mexicocity,20,galileo,0.45485907793045044,0.8974606394767761,0.7852655649185181,0.4426015615463257,0.3304064869880676,0.454667329788208,0.19718988239765167,0.2853580713272095,10,40,2,3.939000000000616
mexicocity,40,galileo,0.4861260652542114,0.9475473165512085,0.8960255980491638,0.46142125129699707,0.4098995327949524,0.3491044342517853,0.1115349531173706,0.157032772898674,10,40,2,3.939000000000616
