region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,alphaearth,0.5514114499092102,0.5375161170959473,0.5663997530937195,-0.01389533281326294,0.014988303184509277,1.0262560844421387,1.0420292615890503,1.0089657306671143,10,40,2,3.939000000000616
mexicocity,1,alphaearth,0.544028103351593,0.5586479902267456,0.5916595458984375,0.014619886875152588,0.04763144254684448,0.863457441329956,0.8495021462440491,0.8171149492263794,10,40,2,3.939000000000616
mexicocity,2,alphaearth,0.5170077085494995,0.5769944787025452,0.5955625772476196,0.059986770153045654,0.07855486869812012,0.7264238595962524,0.6798185706138611,0.6647305488586426,10,40,2,3.939000000000616
mexicocity,3,alphaearth,0.5471341609954834,0.6142805814743042,0.6559416055679321,0.0671464204788208,0.10880744457244873,0.6310493350028992,0.582390546798706,0.5500404238700867,10,40,2,3.939000000000616
mexicocity,4,alphaearth,0.5091974139213562,0.6518986225128174,0.6739185452461243,0.14270120859146118,0.16472113132476807,0.6156255006790161,0.5184609889984131,0.5017948746681213,10,40,2,3.939000000000616
mexicocity,5,alphaearth,0.5149369239807129,0.6719414591789246,0.6841987371444702,0.15700453519821167,0.16926181316375732,0.5846671462059021,0.48082301020622253,0.4717549979686737,10,40,2,3.939000000000616
mexicocity,10,alphaearth,0.552562952041626,0.771865963935852,0.7940057516098022,0.21930301189422607,0.24144279956817627,0.4879544973373413,0.3484243154525757,0.33108606934547424,10,40,2,3.939000000000616
mexicocity,20,alphaearth,0.6415006518363953,0.879442572593689,0.8489417433738708,0.2379419207572937,0.20744109153747559,0.36870884895324707,0.21381410956382751,0.2393379658460617,10,40,2,3.939000000000616
mexicocity,40,alphaearth,0.7321163415908813,0.9746776819229126,0.9262595772743225,0.24256134033203125,0.19414323568344116,0.2520577907562256,0.07749592512845993,0.13224519789218903,10,40,2,3.939000000000616
