region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
maharashtra,0,alphaearth,0.3965591788291931,0.39840996265411377,0.4210377335548401,0.0018507838249206543,0.024478554725646973,0.9671614170074463,0.9656771421432495,0.9473419189453125,10,64,5,4.1274999999999125
maharashtra,1,alphaearth,0.39051342010498047,0.4070742726325989,0.43401777744293213,0.016560852527618408,0.04350435733795166,0.8345503807067871,0.8231342434883118,0.8042145371437073,10,64,5,4.1274999999999125
maharashtra,2,alphaearth,0.36670058965682983,0.38450902700424194,0.4456050992012024,0.01780843734741211,0.07890450954437256,0.6314972043037415,0.6225550174713135,0.590848982334137,10,64,5,4.1274999999999125
maharashtra,3,alphaearth,0.3556896448135376,0.4129490256309509,0.544101357460022,0.05725938081741333,0.18841171264648438,0.5162086486816406,0.4927375316619873,0.4342220723628998,10,64,5,4.1274999999999125
maharashtra,4,alphaearth,0.34534943103790283,0.41067248582839966,0.6464672684669495,0.06532305479049683,0.30111783742904663,0.45539143681526184,0.43207430839538574,0.3346531391143799,10,64,5,4.1274999999999125
maharashtra,5,alphaearth,0.3416265845298767,0.41418206691741943,0.7300981283187866,0.07255548238754272,0.3884715437889099,0.41673585772514343,0.3931027352809906,0.26682570576667786,10,64,5,4.1274999999999125
maharashtra,10,alphaearth,0.3518810272216797,0.5097497701644897,0.9272923469543457,0.15786874294281006,0.575411319732666,0.3248169720172882,0.2825011610984802,0.10879310220479965,10,64,5,4.1274999999999125
maharashtra,20,alphaearth,0.4174676537513733,0.6004918813705444,0.9701886773109436,0.18302422761917114,0.5527210235595703,0.23991437256336212,0.19868223369121552,0.05427335575222969,10,64,5,4.1274999999999125
maharashtra,40,alphaearth,0.5260363221168518,0.8480100631713867,0.9801691174507141,0.3219737410545349,0.4541327953338623,0.15573526918888092,0.08819051086902618,0.03185558319091797,10,64,5,4.1274999999999125
