region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
southflorida,0,galileo,0.5502023696899414,0.5750294327735901,0.5496772527694702,0.02482706308364868,-0.0005251169204711914,0.9128258228302002,0.8872760534286499,0.9133584499359131,10,40,1,3.1070000000015896
southflorida,1,galileo,0.47688090801239014,0.5172955989837646,0.46636027097702026,0.04041469097137451,-0.010520637035369873,0.709001898765564,0.681063711643219,0.7160958647727966,10,40,1,3.1070000000015896
southflorida,2,galileo,0.41453129053115845,0.45865094661712646,0.4200320839881897,0.04411965608596802,0.00550079345703125,0.6152896881103516,0.5916522145271301,0.6123923659324646,10,40,1,3.1070000000015896
southflorida,3,galileo,0.3951496481895447,0.5153657793998718,0.3764357566833496,0.12021613121032715,-0.01871389150619507,0.560903012752533,0.502077579498291,0.5695139765739441,10,40,1,3.1070000000015896
southflorida,4,galileo,0.352908194065094,0.45508474111557007,0.3733869194984436,0.10217654705047607,0.02047872543334961,0.5381402373313904,0.4938294589519501,0.529556393623352,10,40,1,3.1070000000015896
southflorida,5,galileo,0.33366042375564575,0.45389324426651,0.32860881090164185,0.12023282051086426,-0.005051612854003906,0.512539803981781,0.4640006422996521,0.5144789814949036,10,40,1,3.1070000000015896
southflorida,10,galileo,0.3036015033721924,0.48401856422424316,0.3084462881088257,0.18041706085205078,0.004844784736633301,0.4008467197418213,0.34503763914108276,0.3994499742984772,10,40,1,3.1070000000015896
southflorida,20,galileo,0.30858659744262695,0.5323121547698975,0.3283408284187317,0.2237255573272705,0.019754230976104736,0.2584604322910309,0.21257059276103973,0.25474146008491516,10,40,1,3.1070000000015896
southflorida,40,galileo,0.30429649353027344,0.6804771423339844,0.3191336393356323,0.37618064880371094,0.014837145805358887,0.16651086509227753,0.11284477263689041,0.16472573578357697,10,40,1,3.1070000000015896
