region,sigma_km,embedding_type,R2_GALILEO,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_GALILEO,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
maharashtra,0,galileo,0.320248007774353,0.3816366195678711,0.3523174524307251,0.061388611793518066,0.03206944465637207,1.026495099067688,0.9790469408035278,1.001988410949707,40,40,2,4.1274999999999125
maharashtra,1,galileo,0.30656737089157104,0.38207387924194336,0.3582667112350464,0.07550650835037231,0.05169934034347534,0.8901693820953369,0.8403085470199585,0.8563430905342102,40,40,2,4.1274999999999125
maharashtra,2,galileo,0.27783799171447754,0.3926076292991638,0.3290100693702698,0.11476963758468628,0.051172077655792236,0.6743481755256653,0.6184456944465637,0.650017261505127,40,40,2,4.1274999999999125
maharashtra,3,galileo,0.264769971370697,0.48595160245895386,0.36555010080337524,0.22118163108825684,0.10078012943267822,0.5514286756515503,0.46108365058898926,0.5122434496879578,40,40,2,4.1274999999999125
maharashtra,4,galileo,0.23219478130340576,0.575431227684021,0.39616578817367554,0.34323644638061523,0.16397100687026978,0.49318018555641174,0.3667364716529846,0.43735986948013306,40,40,2,4.1274999999999125
maharashtra,5,galileo,0.21906709671020508,0.6622669696807861,0.41023361682891846,0.44319987297058105,0.19116652011871338,0.45387011766433716,0.298477441072464,0.39442527294158936,40,40,2,4.1274999999999125
maharashtra,10,galileo,0.18413782119750977,0.8711926341056824,0.4751323461532593,0.6870548129081726,0.2909945249557495,0.36443474888801575,0.14480437338352203,0.29230502247810364,40,40,2,4.1274999999999125
maharashtra,20,galileo,0.16845470666885376,0.9680150747299194,0.6194044351577759,0.7995603680610657,0.4509497284889221,0.28664156794548035,0.05621717870235443,0.19392244517803192,40,40,2,4.1274999999999125
maharashtra,40,galileo,0.177202045917511,0.9820547103881836,0.7849448323249817,0.8048526644706726,0.6077427864074707,0.20519228279590607,0.030303271487355232,0.10490335524082184,40,40,2,4.1274999999999125
