region,sigma_km,embedding_type,R2_ALPHAEARTH,R2_SH,R2_Slepian,ΔR2_SH,ΔR2_Slepian,RMSE_ALPHAEARTH,RMSE_SH,RMSE_Slepian,L_sh,L_slepian,K,cap_radius_deg
mexicocity,0,alphaearth,0.5514114499092102,0.5375161170959473,0.5775307416915894,-0.01389533281326294,0.02611929178237915,1.0262560844421387,1.0420292615890503,0.9959308505058289,10,96,11,3.939000000000616
mexicocity,1,alphaearth,0.5389761924743652,0.5636961460113525,0.6205387115478516,0.024719953536987305,0.08156251907348633,0.8682276606559753,0.8446298837661743,0.7876906394958496,10,96,11,3.939000000000616
mexicocity,2,alphaearth,0.5321257710456848,0.5820375084877014,0.7148241996765137,0.0499117374420166,0.18269842863082886,0.7149646282196045,0.6757540106773376,0.5581826567649841,10,96,11,3.939000000000616
mexicocity,3,alphaearth,0.5059170126914978,0.6164438724517822,0.824996829032898,0.11052685976028442,0.31907981634140015,0.6591412425041199,0.5807550549507141,0.3922848403453827,10,96,11,3.939000000000616
mexicocity,4,alphaearth,0.5265552997589111,0.6341801881790161,0.8912246227264404,0.10762488842010498,0.3646693229675293,0.604641318321228,0.5314920544624329,0.2898201048374176,10,96,11,3.939000000000616
mexicocity,5,alphaearth,0.5352756381034851,0.6762830018997192,0.9368257522583008,0.14100736379623413,0.4015501141548157,0.5722783207893372,0.4776307940483093,0.2109985649585724,10,96,11,3.939000000000616
mexicocity,10,alphaearth,0.5297722816467285,0.7741786241531372,0.9839900732040405,0.2444063425064087,0.454217791557312,0.5002274513244629,0.3466537594795227,0.09230141341686249,10,96,11,3.939000000000616
mexicocity,20,alphaearth,0.6325299739837646,0.8461641073226929,0.9958239197731018,0.21363413333892822,0.36329394578933716,0.3732934296131134,0.24152839183807373,0.03979455307126045,10,96,11,3.939000000000616
mexicocity,40,alphaearth,0.6413769125938416,0.9719216227531433,0.995468258857727,0.33054471015930176,0.3540913462638855,0.29163938760757446,0.08160431683063507,0.03278374299407005,10,96,11,3.939000000000616
